density_gap,density_name,target_slice,lower_ref_slice,upper_ref_slice,target_z,z0,z1,tau,ref_z_gap,n_spots,n_genes,random_seed,n_label_support_records,label_support_labels,mean_corr,var_corr,moran_corr,zero_ks,median_gene_pearson,median_gene_spearman,generated_h5ad,per_gene_metrics_csv,per_class_metrics_csv,z_regularized
10,sparse_gap10,6,1,11,0.2,0.0,0.6198209509757062,0.32267382973286907,0.6198209509757062,10442,1122,102026,0,[],0.9549825918126533,0.939263397116008,0.6099941459763352,0.11319073083778966,0.05627850388934205,0.058732600474034516,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,16,11,21,0.9752523511274424,0.6198209509757062,1.3389267592772198,0.4942685708397274,0.7191058083015136,9580,1122,102027,1,['07 CTX-MGE GABA'],0.9277066878720567,0.8784315229775881,0.7126468639179174,0.07932263814616755,0.07435986573973055,0.07420899165776025,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,26,21,31,1.970855827266864,1.3389267592772198,2.2700640329181714,0.6786637007008242,0.9311372736409516,9135,1122,102028,1,['04 DG-IMN Glut'],0.9437735340064544,0.9059032799117666,0.707720946921464,0.12566844919786097,0.1005756897920628,0.10196208887790939,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,36,31,41,2.760884455979676,2.2700640329181714,3.294805636610366,0.47896993865873555,1.0247416036921946,9533,1122,102029,1,['15 HY Gnrh1 Glut'],0.9794953157842214,0.9055020995767246,0.7557457795916392,0.11853832442067737,0.12926713654880828,0.12157876355276825,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,46,41,51,3.7842382240187393,3.294805636610366,4.276677295245734,0.4984690036665282,0.981871658635368,21795,1122,102030,2,"['19 MB Glut', '25 Pineal Glut']",0.9523715883578964,0.6861201014481633,0.7461799072000062,0.18538324420677363,0.1307332877330109,0.1190467182087715,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,56,51,61,4.791846418988289,4.276677295245734,5.302221068661704,0.5023375277552367,1.0255437734159703,22963,1122,102031,1,['22 MB-HB Sero'],0.9726920817591186,0.9379649856870689,0.7869071913279674,0.1800356506238859,0.16026720506042125,0.14268493037504146,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,66,61,71,5.752391808790593,5.302221068661704,6.104251618282508,0.561288769289059,0.8020305496208042,26940,1122,102032,3,"['20 MB GABA', '27 MY GABA', '28 CB GABA']",0.9600823084582089,0.9540075284990012,0.7410442940649173,0.24955436720142601,0.12692123142795558,0.11814016235253952,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,76,71,81,6.418447464831936,6.104251618282508,6.881643083604378,0.4041668330116522,0.7773914653218696,27848,1122,102033,1,['23 P Glut'],0.9732330840288692,0.9786385722919632,0.7856176399161376,0.23083778966131907,0.11553993571119511,0.10709952053564087,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,86,81,91,7.463723138174608,6.881643083604378,8.008105978096916,0.5167325594266039,1.126462894492538,30109,1122,102034,3,"['15 HY Gnrh1 Glut', '24 MY Glut', '32 OEC']",0.9779289752506641,0.9775706338288259,0.7254346135302808,0.21836007130124777,0.10587458385247592,0.10425454005532525,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,96,91,101,8.469022199413168,8.008105978096916,8.854363135565341,0.5446526711751313,0.8462571574684254,28442,1122,102035,0,[],0.955436383771725,0.956270261229855,0.7698962893743214,0.32887700534759357,0.147653949394437,0.12684783298509292,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,106,101,111,9.307552976701205,8.854363135565341,9.847676327766404,0.45624063456929326,0.9933131922010627,27169,1122,102036,0,[],0.9608552718362596,0.9614899904974439,0.7567523623330699,0.3235294117647059,0.1072212155081548,0.09930226822430369,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,116,111,121,10.354266571312971,9.847676327766404,10.702504977376009,0.5926219760859955,0.8548286496096047,19003,1122,102037,2,"['09 CNU-LGE GABA', '10 LSX GABA']",0.9805378278508573,0.949022398548588,0.6907627318748858,0.24777183600713013,0.07689484664232882,0.07425266501135616,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,126,121,131,11.067791421558011,10.702504977376009,11.533454649051524,0.43960116555006745,0.8309496716755156,20175,1122,102038,2,"['04 DG-IMN Glut', '14 HY Glut']",0.9881526951335045,0.9591927763164015,0.7767762336465626,0.13458110516934046,0.06019782730104263,0.05792093217992864,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,136,131,141,12.046132738254242,11.533454649051524,12.557298711671177,0.5007384502391476,1.023844062619652,14630,1122,102039,2,"['01 IT-ET Glut', '14 HY Glut']",0.9766178765474658,0.9153435206922306,0.6343514309129333,0.1532976827094474,0.06441269976894692,0.0610486441044677,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
10,sparse_gap10,146,141,150,13.057739820419144,12.557298711671177,13.457739820419144,0.5557732803245884,0.9004411087479678,14027,1122,102040,1,['20 MB GABA'],0.9612372814521858,0.9111778153573968,0.738718433882019,0.0962566844919786,0.07446773805521795,0.06992215205991137,generated_z_regularized.h5ad,per_gene_metrics_z_regularized.csv,per_class_metrics_z_regularized.csv,True
